Date,Open,High,Low,Close,Adj Close,Volume
2022-08-15,122.209999,123.260002,121.570000,122.879997,122.879997,15525000
2022-08-16,122.320000,123.227997,121.535004,122.510002,122.510002,15626200
2022-08-17,120.930000,122.150002,120.199997,120.320000,120.320000,17589200
2022-08-18,120.230003,121.690002,119.550003,120.860001,120.860001,15652000
2022-08-19,119.870003,120.000000,117.669998,118.120003,118.120003,20187000
2022-08-22,116.099998,116.500000,114.669998,115.070000,115.070000,19316000
2022-08-23,114.320000,115.930000,114.300003,114.769997,114.769997,14390700
2022-08-24,114.449997,115.717003,113.779999,114.699997,114.699997,16051200
2022-08-25,115.150002,117.779999,115.050003,117.699997,117.699997,14874700
2022-08-26,115.809998,116.599998,111.220001,111.300003,111.300003,31698700
2022-08-29,110.779999,111.959999,109.809998,110.339996,110.339996,20386100
2022-08-30,111.029999,111.370003,108.800003,109.910004,109.910004,20548200
2022-08-31,111.629997,111.769997,109.050003,109.150002,109.150002,25898000
2022-09-01,109.199997,111.220001,108.190002,110.550003,110.550003,22784400
2022-09-02,111.339996,111.675003,108.129997,108.680000,108.680000,20618100
2022-09-06,108.135002,108.879997,106.510002,107.480003,107.480003,20565100
2022-09-07,107.760002,110.989998,107.614998,110.480003,110.480003,22987200
2022-09-08,109.180000,110.580002,108.059998,109.419998,109.419998,21660700
2022-09-09,110.050003,112.000000,110.000000,111.779999,111.779999,21732900
2022-09-12,111.989998,112.639999,110.930000,111.870003,111.870003,19732900
2022-09-13,108.889999,109.370003,105.000000,105.309998,105.309998,33015000
2022-09-14,105.440002,106.099998,104.500000,105.870003,105.870003,22115800
2022-09-15,105.010002,106.209999,103.309998,103.900002,103.900002,26494900
2022-09-16,102.970001,104.029999,101.855003,103.629997,103.629997,64540100
2022-09-19,102.540001,104.019997,102.370003,103.849998,103.849998,19738600
2022-09-20,102.879997,103.169998,101.120003,101.830002,101.830002,24001700
2022-09-21,102.239998,103.489998,99.989998,100.010002,100.010002,26596800
2022-09-22,99.449997,101.680000,99.410004,100.570000,100.570000,21272700
2022-09-23,100.059998,100.110001,98.010002,99.169998,99.169998,25657000
2022-09-26,98.610001,100.440002,98.379997,98.809998,98.809998,22437900
2022-09-27,99.910004,100.459999,97.339996,98.089996,98.089996,24225000
2022-09-28,98.019997,101.400002,97.800003,100.739998,100.739998,24617000
2022-09-29,99.300003,99.300003,96.519997,98.089996,98.089996,21921500
2022-09-30,97.730003,99.494003,96.029999,96.150002,96.150002,26277800
2022-10-03,97.220001,99.970001,97.019997,99.300003,99.300003,24840000
2022-10-04,101.040001,102.720001,101.040001,102.410004,102.410004,22580900
2022-10-05,100.690002,102.739998,99.739998,102.220001,102.220001,18475500
2022-10-06,101.500000,103.730003,101.500000,102.239998,102.239998,17156200
2022-10-07,100.650002,101.419998,99.209999,99.570000,99.570000,24249900
2022-10-10,99.849998,99.989998,97.870003,98.709999,98.709999,16529900
2022-10-11,98.250000,100.120003,97.250000,98.050003,98.050003,21617700
2022-10-12,98.269997,99.648003,97.669998,98.300003,98.300003,17343400
2022-10-13,95.930000,100.529999,95.269997,99.709999,99.709999,32812200
2022-10-14,100.625000,101.290001,97.029999,97.180000,97.180000,22624800
2022-10-17,99.519997,101.769997,99.510002,100.779999,100.779999,23311600
2022-10-18,103.940002,104.220001,100.650002,101.389999,101.389999,21610500
2022-10-19,100.699997,101.658997,99.635002,100.290001,100.290001,21573700
2022-10-20,100.820000,103.000000,99.970001,100.529999,100.529999,25125100
2022-10-21,98.459999,101.620003,98.230003,101.480003,101.480003,28988700
2022-10-24,102.089996,103.099998,100.300003,102.970001,102.970001,24680800
2022-10-25,103.300003,105.099998,103.019997,104.930000,104.930000,29910200
2022-10-26,96.760002,98.540001,94.570000,94.820000,94.820000,71504300
2022-10-27,94.309998,95.169998,91.900002,92.599998,92.599998,54036500
